kelas_id,dosen_id,kuesioner,skor_kues,nilai_akhir
2021133696,533,"{""25"": 3.3333333333333333, ""26"": 3.3333333333333333, ""27"": 3.5000000000000000}","{""1"": 3.3333333333333333, ""2"": 3.4000000000000000, ""3"": 3.3333333333333334}",3.7210577777777778
2021114232,772,"{""25"": 3.7142857142857143, ""26"": 3.6428571428571429, ""27"": 3.7857142857142857}","{""1"": 3.4523809523809524, ""2"": 3.7000000000000000, ""3"": 3.5714285714285714}",3.8014437118437118
2021140311,594,"{""25"": 3.8235294117647059, ""26"": 3.7941176470588235, ""27"": 3.8823529411764706}","{""1"": 3.5588235294117647, ""2"": 3.7823529411764706, ""3"": 3.6617647058823530}",3.5783094117647059
2021160746,638,"{""25"": 3.6666666666666667, ""26"": 3.6666666666666667, ""27"": 3.6666666666666667}","{""1"": 3.5000000000000000, ""2"": 3.7500000000000000, ""3"": 3.6250000000000000}",3.8257022222222222
2021160746,762,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.5000000000000000, ""2"": 3.9500000000000000, ""3"": 3.6250000000000000}",3.8390355555555556
2021160746,796,"{""25"": 3.2500000000000000, ""26"": 3.2500000000000000, ""27"": 3.2500000000000000}","{""1"": 3.5000000000000000, ""2"": 3.5000000000000000, ""3"": 3.6250000000000000}",3.8090355555555556
2021160746,1533,"{""25"": 3.7500000000000000, ""26"": 3.5000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.5000000000000000, ""2"": 3.8000000000000000, ""3"": 3.6250000000000000}",3.8290355555555556
2021160746,2809,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.5000000000000000, ""2"": 3.9500000000000000, ""3"": 3.6250000000000000}",3.8390355555555556
2021189684,393,"{""25"": 3.7910447761194030, ""26"": 3.7164179104477612, ""27"": 3.8805970149253731}","{""1"": 3.4278606965174130, ""2"": 3.7582089552238806, ""3"": 3.6492537313432836}",3.6986465377752587
2021189684,4637,"{""25"": 3.8507462686567164, ""26"": 3.7611940298507463, ""27"": 3.8955223880597015}","{""1"": 3.4278606965174130, ""2"": 3.7820895522388060, ""3"": 3.6492537313432836}",3.7002385775762538
2021127364,147,"{""25"": 3.7777777777777778, ""26"": 3.7777777777777778, ""27"": 3.8333333333333333}","{""1"": 3.7777777777777778, ""2"": 3.7777777777777778, ""3"": 3.8333333333333333}",3.6496592592592593
2021149951,441,"{""25"": 3.5862068965517241, ""26"": 3.8275862068965517, ""27"": 3.7931034482758621}","{""1"": 3.4712643678160919, ""2"": 3.6758620689655172, ""3"": 3.5172413793103449}",3.2540086652169411
2021126391,949,"{""25"": 3.6166666666666667, ""26"": 3.5833333333333333, ""27"": 3.6666666666666667}","{""1"": 3.2444444444444444, ""2"": 3.5566666666666667, ""3"": 3.3250000000000000}",3.5340727837514934
2021105609,1423,"{""25"": 3.9687500000000000, ""26"": 3.9687500000000000, ""27"": 3.9375000000000000}","{""1"": 3.6041666666666667, ""2"": 3.9187500000000000, ""3"": 3.7500000000000000}",3.553422514619883
2021110049,712,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8666666666666667, ""2"": 4.0000000000000000, ""3"": 3.9000000000000000}",3.8810844444444444
2021110049,1096,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8666666666666667, ""2"": 4.0000000000000000, ""3"": 3.9000000000000000}",3.8810844444444444
2021128706,1169,"{""25"": 3.7719298245614035, ""26"": 3.6491228070175439, ""27"": 3.8245614035087719}","{""1"": 3.1812865497076023, ""2"": 3.7052631578947368, ""3"": 3.4912280701754386}",3.6315921797207043
2021114961,891,"{""25"": 3.4444444444444444, ""26"": 3.3333333333333333, ""27"": 3.6666666666666667}","{""1"": 3.5555555555555556, ""2"": 3.4888888888888889, ""3"": 3.6111111111111112}",3.7579703703703704
2021114961,1133,"{""25"": 3.6666666666666667, ""26"": 3.6666666666666667, ""27"": 3.6666666666666667}","{""1"": 3.5555555555555556, ""2"": 3.6000000000000000, ""3"": 3.6111111111111112}",3.7653777777777778
2021145499,712,"{""25"": 3.6470588235294118, ""26"": 3.7647058823529412, ""27"": 3.7647058823529412}","{""1"": 3.5294117647058824, ""2"": 3.6470588235294118, ""3"": 3.7058823529411765}",3.8253111484593838
